2022-11-14 21:58:39.575 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.weiho.scaffold.system.service.BuildingServiceTest], using SpringBootContextLoader
2022-11-14 21:58:42.428 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-11-14 21:58:42.463 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20 ms. Found 0 Redis repository interfaces.
2022-11-14 21:58:44.576 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 0 (http)
2022-11-14 21:58:44.591 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-auto-1"]
2022-11-14 21:58:44.592 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-11-14 21:58:44.592 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2022-11-14 21:58:44.761 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-11-14 21:58:44.761 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4240 ms
2022-11-14 21:58:45.440 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-11-14 21:58:46.140 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-11-14 21:58:49.028 [main] INFO  c.w.scaffold.common.config.swagger.SwaggerConfig - Swagger -> [Swagger接口文档分组 '需要token验证' 初始化]
2022-11-14 21:58:49.060 [main] INFO  c.w.scaffold.common.config.swagger.SwaggerConfig - Swagger -> [Swagger接口文档分组 '不需要token验证' 初始化]
2022-11-14 21:58:50.515 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 13 endpoint(s) beneath base path '/actuator'
2022-11-14 21:58:51.579 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5c30decf, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7827cdfc, org.springframework.security.web.context.SecurityContextPersistenceFilter@39acf187, org.springframework.security.web.header.HeaderWriterFilter@6e4bccc, org.springframework.security.web.authentication.logout.LogoutFilter@dc3eda6, org.springframework.web.filter.CorsFilter@71b0289b, com.weiho.scaffold.system.security.token.filter.TokenFilter@4a0f4282, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@518b0c12, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@74ab8610, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@19d3f4fb, org.springframework.security.web.session.SessionManagementFilter@263f6e96, org.springframework.security.web.access.ExceptionTranslationFilter@769a9b7a, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2604940]
2022-11-14 21:58:51.744 [main] INFO  com.weiho.scaffold.redis.config.RedisConfig - Redis -> [Redis缓存错误处理程序初始化]
2022-11-14 21:58:52.644 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-auto-1"]
2022-11-14 21:58:52.667 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-11-14 21:58:52.667 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-11-14 21:58:52.670 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2022-11-14 21:58:52.671 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 15648 (http) with context path ''
2022-11-14 21:58:53.367 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [192.168.137.128:5672]
2022-11-14 21:58:53.466 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#50b2ba2c:0/SimpleConnection@30b0d5a7 [delegate=amqp://admin@192.168.137.128:5672/, localPort= 15651]
2022-11-14 21:58:53.537 [main] INFO  c.w.scaffold.system.service.BuildingServiceTest - Started BuildingServiceTest in 13.484 seconds (JVM running for 15.33)
2022-11-14 21:58:53.956 [main] DEBUG c.w.s.system.mapper.BuildingMapper.selectList - ==>  Preparing: SELECT id AS value, building_num AS label FROM building WHERE is_del=0
2022-11-14 21:58:53.977 [main] DEBUG c.w.s.system.mapper.BuildingMapper.selectList - ==> Parameters: 
2022-11-14 21:58:53.995 [main] DEBUG c.w.s.system.mapper.BuildingMapper.selectList - <==      Total: 11
2022-11-14 21:58:54.038 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2022-11-14 21:58:54.521 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2022-11-14 21:58:54.723 [SpringApplicationShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is already stopped
2022-11-14 21:58:54.756 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-11-14 21:58:54.775 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-11-14 21:59:31.574 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.weiho.scaffold.system.service.BuildingServiceTest], using SpringBootContextLoader
2022-11-14 21:59:31.584 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.weiho.scaffold.system.service.BuildingServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-11-14 21:59:31.585 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.weiho.scaffold.system.service.BuildingServiceTest]: BuildingServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-11-14 21:59:31.770 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.weiho.scaffold.system.AppRun for test class com.weiho.scaffold.system.service.BuildingServiceTest
2022-11-14 21:59:31.906 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
2022-11-14 21:59:31.940 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@531f4093, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@62ef27a8, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6436a7db, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@460ebd80, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6f3c660a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@74f5ce22, org.springframework.test.context.transaction.TransactionalTestExecutionListener@25aca718, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@16fdec90, org.springframework.test.context.event.EventPublishingTestExecutionListener@1afdd473, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@40238dd0, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@7776ab, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@79179359, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@dbd8e44, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@51acdf2e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6a55299e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2f1de2d6, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@4eb386df]
2022-11-14 21:59:32.418 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-11-14 21:59:32.431 [main] INFO  c.w.scaffold.system.service.BuildingServiceTest - Starting BuildingServiceTest using Java 1.8.0_144 on LAPTOP-SR0899OB with PID 15940 (started by Weiho in E:\Graduation_ChouChou\Scaffold-Weiho\Scaffold\scaffold-system)
2022-11-14 21:59:32.432 [main] DEBUG c.w.scaffold.system.service.BuildingServiceTest - Running with Spring Boot v2.7.0, Spring v5.3.20
2022-11-14 21:59:32.432 [main] INFO  c.w.scaffold.system.service.BuildingServiceTest - No active profile set, falling back to 1 default profile: "default"
2022-11-14 21:59:34.189 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-11-14 21:59:34.194 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-11-14 21:59:34.249 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 38 ms. Found 0 Redis repository interfaces.
2022-11-14 21:59:36.544 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 0 (http)
2022-11-14 21:59:36.565 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-auto-1"]
2022-11-14 21:59:36.565 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-11-14 21:59:36.566 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2022-11-14 21:59:36.903 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-11-14 21:59:36.903 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4433 ms
2022-11-14 21:59:37.862 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-11-14 21:59:38.956 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-11-14 21:59:42.587 [main] INFO  c.w.scaffold.common.config.swagger.SwaggerConfig - Swagger -> [Swagger接口文档分组 '需要token验证' 初始化]
2022-11-14 21:59:42.620 [main] INFO  c.w.scaffold.common.config.swagger.SwaggerConfig - Swagger -> [Swagger接口文档分组 '不需要token验证' 初始化]
2022-11-14 21:59:44.240 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 13 endpoint(s) beneath base path '/actuator'
2022-11-14 21:59:45.469 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@436d2bb9, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4144d4a, org.springframework.security.web.context.SecurityContextPersistenceFilter@6f9999f6, org.springframework.security.web.header.HeaderWriterFilter@6ac0fd1d, org.springframework.security.web.authentication.logout.LogoutFilter@99f75e4, org.springframework.web.filter.CorsFilter@42cc420b, com.weiho.scaffold.system.security.token.filter.TokenFilter@20276412, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@54cce500, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@689eab53, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1dae9e61, org.springframework.security.web.session.SessionManagementFilter@1c15a6aa, org.springframework.security.web.access.ExceptionTranslationFilter@47ab3688, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1690929]
2022-11-14 21:59:45.583 [main] INFO  com.weiho.scaffold.redis.config.RedisConfig - Redis -> [Redis缓存错误处理程序初始化]
2022-11-14 21:59:46.484 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-auto-1"]
2022-11-14 21:59:46.506 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-11-14 21:59:46.506 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-11-14 21:59:46.510 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2022-11-14 21:59:46.512 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 15689 (http) with context path ''
2022-11-14 21:59:47.274 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [192.168.137.128:5672]
2022-11-14 21:59:47.382 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#4e7151b3:0/SimpleConnection@7bc239db [delegate=amqp://admin@192.168.137.128:5672/, localPort= 15692]
2022-11-14 21:59:47.460 [main] INFO  c.w.scaffold.system.service.BuildingServiceTest - Started BuildingServiceTest in 15.457 seconds (JVM running for 17.0)
2022-11-14 21:59:47.883 [main] DEBUG c.w.s.system.mapper.BuildingMapper.selectList - ==>  Preparing: SELECT id AS value, building_num AS label FROM building WHERE is_del=0
2022-11-14 21:59:47.901 [main] DEBUG c.w.s.system.mapper.BuildingMapper.selectList - ==> Parameters: 
2022-11-14 21:59:47.914 [main] DEBUG c.w.s.system.mapper.BuildingMapper.selectList - <==      Total: 11
2022-11-14 21:59:47.944 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2022-11-14 21:59:48.447 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2022-11-14 21:59:48.644 [SpringApplicationShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is already stopped
2022-11-14 21:59:48.675 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-11-14 21:59:48.683 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-11-14 22:00:02.357 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.weiho.scaffold.system.service.BuildingServiceTest], using SpringBootContextLoader
2022-11-14 22:00:02.366 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.weiho.scaffold.system.service.BuildingServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-11-14 22:00:02.366 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.weiho.scaffold.system.service.BuildingServiceTest]: BuildingServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-11-14 22:00:02.554 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.weiho.scaffold.system.AppRun for test class com.weiho.scaffold.system.service.BuildingServiceTest
2022-11-14 22:00:02.719 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
2022-11-14 22:00:02.756 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@531f4093, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@62ef27a8, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6436a7db, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@460ebd80, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6f3c660a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@74f5ce22, org.springframework.test.context.transaction.TransactionalTestExecutionListener@25aca718, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@16fdec90, org.springframework.test.context.event.EventPublishingTestExecutionListener@1afdd473, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@40238dd0, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@7776ab, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@79179359, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@dbd8e44, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@51acdf2e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6a55299e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2f1de2d6, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@4eb386df]
2022-11-14 22:00:03.321 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-11-14 22:00:03.332 [main] INFO  c.w.scaffold.system.service.BuildingServiceTest - Starting BuildingServiceTest using Java 1.8.0_144 on LAPTOP-SR0899OB with PID 1836 (started by Weiho in E:\Graduation_ChouChou\Scaffold-Weiho\Scaffold\scaffold-system)
2022-11-14 22:00:03.333 [main] DEBUG c.w.scaffold.system.service.BuildingServiceTest - Running with Spring Boot v2.7.0, Spring v5.3.20
2022-11-14 22:00:03.334 [main] INFO  c.w.scaffold.system.service.BuildingServiceTest - No active profile set, falling back to 1 default profile: "default"
2022-11-14 22:00:05.082 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-11-14 22:00:05.086 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-11-14 22:00:05.125 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 25 ms. Found 0 Redis repository interfaces.
2022-11-14 22:00:07.050 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 0 (http)
2022-11-14 22:00:07.061 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-auto-1"]
2022-11-14 22:00:07.062 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-11-14 22:00:07.062 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2022-11-14 22:00:07.254 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-11-14 22:00:07.255 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3866 ms
2022-11-14 22:00:07.896 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-11-14 22:00:08.610 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-11-14 22:00:11.964 [main] INFO  c.w.scaffold.common.config.swagger.SwaggerConfig - Swagger -> [Swagger接口文档分组 '需要token验证' 初始化]
2022-11-14 22:00:12.002 [main] INFO  c.w.scaffold.common.config.swagger.SwaggerConfig - Swagger -> [Swagger接口文档分组 '不需要token验证' 初始化]
2022-11-14 22:00:13.452 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 13 endpoint(s) beneath base path '/actuator'
2022-11-14 22:00:14.709 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5cd6a827, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6cd65042, org.springframework.security.web.context.SecurityContextPersistenceFilter@34a99d8, org.springframework.security.web.header.HeaderWriterFilter@5ca006ac, org.springframework.security.web.authentication.logout.LogoutFilter@54cce500, org.springframework.web.filter.CorsFilter@42cc420b, com.weiho.scaffold.system.security.token.filter.TokenFilter@7674f9d4, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@47fbf95e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6ce8bf64, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4b5ceb5d, org.springframework.security.web.session.SessionManagementFilter@21539796, org.springframework.security.web.access.ExceptionTranslationFilter@702432cc, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@765eb801]
2022-11-14 22:00:14.850 [main] INFO  com.weiho.scaffold.redis.config.RedisConfig - Redis -> [Redis缓存错误处理程序初始化]
2022-11-14 22:00:15.806 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-auto-1"]
2022-11-14 22:00:15.834 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-11-14 22:00:15.834 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-11-14 22:00:15.837 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2022-11-14 22:00:15.837 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 15722 (http) with context path ''
